Name,Status,Area,Project,XP,Notes,Date
Fix Spotify Identity (Zev vs Zevah),To Do,ZEVAH,Identity & Rebranding,50,,
Update Bio & Photos,To Do,ZEVAH,Identity & Rebranding,20,,
Social Media Reset,To Do,ZEVAH,Identity & Rebranding,30,,
Restore Cover Art,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),30,,
Fix Metadata: Gativideo,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),20,,
Canvas: Amarillo,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),20,,
Canvas: Gativideo,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),20,,
Canvas: Ver Real,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),20,,
Canvas: Palermo,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),20,,
Canvas: Aprender,To Do,ZEVAH,Relaunch: EP 'ZEVAH' (Amarillo 2016),20,,
Canvas: Minimalist Redhead,To Do,ZEVAH,Relaunch: EP 'Tres Líneas de Subte',20,,
Canvas: Montana,To Do,ZEVAH,Relaunch: EP 'Tres Líneas de Subte',20,,
Canvas: Manantial,To Do,ZEVAH,Relaunch: EP 'Tres Líneas de Subte',20,,
Storytelling Content,To Do,ZEVAH,Relaunch: EP 'Tres Líneas de Subte',30,,
Distributor Upload,To Do,ZEVAH,Launch: Single 'Dinosaurio',50,,
Generate Cover Art,To Do,ZEVAH,Launch: Single 'Dinosaurio',30,,
Edit Backstage Trailer,To Do,ZEVAH,Launch: Single 'Dinosaurio',30,,
Create Main Visualizer,To Do,ZEVAH,Launch: Single 'Dinosaurio',40,,
Record Live Session,To Do,ZEVAH,Launch: Single 'Dinosaurio',50,,
Confirm Title,To Do,ZEVAH,Launch: Single 'The Face',10,,
Generate Cover Art,To Do,ZEVAH,Launch: Single 'The Face',30,,
Create Visualizer,To Do,ZEVAH,Launch: Single 'The Face',30,,
Edit Video: Track 1,To Do,ZEVAH,Project Abbey Road (The Holy Grail),50,,
Edit Video: Track 2,To Do,ZEVAH,Project Abbey Road (The Holy Grail),50,,
Design EP Artwork,To Do,ZEVAH,Project Abbey Road (The Holy Grail),40,,
Unlock Milestone,To Do,ZEVAH,Project Abbey Road (The Holy Grail),100,,
Select Tracklist,Done,ShabtaiLab (AI Studio),Project: Lo-Fi Catriel y Paco,20,"2026-01-28 OUTPUT: donr

2026-01-28 OUTPUT: ",
Generate AI Audio (Suno),To Do,ShabtaiLab (AI Studio),Project: Lo-Fi Catriel y Paco,40,2026-01-28 OUTPUT: ,
Generate Visuals,Done,ShabtaiLab (AI Studio),Project: Lo-Fi Catriel y Paco,30,"2026-01-28 OUTPUT: 

2026-01-28 OUTPUT: ",
Edit & Upload,To Do,ShabtaiLab (AI Studio),Project: Lo-Fi Catriel y Paco,30,,
Concept Definition,Done,ShabtaiLab (AI Studio),Project: Lo-Fi Bad Bunny,20,2026-01-28 OUTPUT: ,
Production & Visuals,To Do,ShabtaiLab (AI Studio),Project: Lo-Fi Bad Bunny,50,,
Social Strategy,To Do,ShabtaiLab (AI Studio),Project: Lo-Fi Bad Bunny,30,,
Define MVP: Luxury Jewelry,To Do,ShabtaiLab (AI Studio),SaaS: Influencer Ads Engine,50,,
Build Frontend (Web),To Do,ShabtaiLab (AI Studio),SaaS: Influencer Ads Engine,40,,
Build Backend (n8n),To Do,ShabtaiLab (AI Studio),SaaS: Influencer Ads Engine,60,,
Acquire Talent Licenses,To Do,ShabtaiLab (AI Studio),SaaS: Influencer Ads Engine,40,,
"adloop.app hace algo parecido, investigar todo",To Do,ShabtaiLab (AI Studio),SaaS: Influencer Ads Engine,10,,
Create Soundscapes,To Do,ShabtaiLab (AI Studio),Content: Atmospheric Sounds,20,,
Publish Recurring Content,To Do,ShabtaiLab (AI Studio),Content: Atmospheric Sounds,20,,
Define Micro-MVP Scope,To Do,Tech & Startups,SaaS: MAI (Music Audience Insights),50,,
Implement Daily Snapshot Logic,To Do,Tech & Startups,SaaS: MAI (Music Audience Insights),60,,
Select No-Code Stack,To Do,Tech & Startups,SaaS: MAI (Music Audience Insights),30,,
